policy_number,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship
166264,476978,FEMALE,College,handlers-cleaners,golf,husband
527945,600648,MALE,College,transport-moving,dancing,not-in-family
627540,608335,FEMALE,JD,other-service,kayaking,wife
279422,471600,FEMALE,PhD,handlers-cleaners,polo,unmarried
484200,441175,MALE,High School,exec-managerial,paintball,husband
645258,603123,FEMALE,Masters,exec-managerial,video-games,wife
694662,457767,MALE,Masters,other-service,bungie-jumping,other-relative
960680,618498,MALE,High School,exec-managerial,video-games,wife
498140,605486,MALE,Masters,prof-specialty,movies,not-in-family
498875,617970,MALE,High School,transport-moving,board-games,own-child
798177,432934,FEMALE,Associate,priv-house-serv,yachting,husband
614763,456762,FEMALE,MD,other-service,yachting,own-child
679370,601748,FEMALE,College,prof-specialty,kayaking,not-in-family
958857,607763,FEMALE,College,exec-managerial,exercise,not-in-family
686816,436973,FEMALE,High School,sales,board-games,own-child
127754,471300,FEMALE,Associate,tech-support,exercise,own-child
918629,453277,MALE,PhD,farming-fishing,yachting,own-child
731450,465100,FEMALE,MD,exec-managerial,exercise,not-in-family
307447,603248,FEMALE,High School,machine-op-inspct,hiking,not-in-family
992145,601112,FEMALE,PhD,armed-forces,exercise,husband
900628,438830,FEMALE,Associate,protective-serv,hiking,not-in-family
235220,464959,MALE,Masters,farming-fishing,skydiving,own-child
740019,439787,FEMALE,College,machine-op-inspct,kayaking,wife
246882,464839,MALE,College,exec-managerial,reading,not-in-family
797613,448984,FEMALE,College,protective-serv,yachting,not-in-family
193442,440327,FEMALE,College,tech-support,exercise,unmarried
389238,460742,FEMALE,JD,prof-specialty,bungie-jumping,husband
760179,446895,FEMALE,Associate,tech-support,kayaking,other-relative
939905,609374,MALE,College,other-service,basketball,wife
872814,451672,MALE,College,prof-specialty,kayaking,husband
632627,604450,FEMALE,Associate,prof-specialty,basketball,husband
283414,432896,FEMALE,High School,handlers-cleaners,camping,own-child
163161,618929,FEMALE,PhD,machine-op-inspct,basketball,other-relative
853360,451312,FEMALE,Masters,sales,chess,husband
776860,605141,FEMALE,College,prof-specialty,video-games,unmarried
149367,459504,MALE,PhD,craft-repair,dancing,unmarried
395269,432781,MALE,High School,exec-managerial,polo,other-relative
981123,452748,MALE,MD,protective-serv,camping,own-child
143626,618316,MALE,Associate,armed-forces,reading,other-relative
648397,455365,MALE,MD,machine-op-inspct,hiking,other-relative
154982,470603,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative
330591,475292,MALE,High School,exec-managerial,exercise,unmarried
319232,467743,FEMALE,PhD,transport-moving,yachting,not-in-family
531640,460675,FEMALE,Associate,adm-clerical,camping,husband
368050,618123,MALE,High School,priv-house-serv,board-games,other-relative
253791,607452,FEMALE,MD,other-service,video-games,other-relative
155724,606352,FEMALE,Masters,other-service,skydiving,not-in-family
824540,603527,FEMALE,College,prof-specialty,movies,other-relative
717392,445601,FEMALE,JD,prof-specialty,paintball,not-in-family
965768,603948,MALE,JD,craft-repair,dancing,unmarried
414779,435758,MALE,MD,protective-serv,video-games,unmarried
428230,611586,FEMALE,High School,tech-support,exercise,own-child
517240,465263,MALE,College,farming-fishing,basketball,wife
469874,617858,FEMALE,Masters,sales,sleeping,husband
718428,607889,MALE,JD,machine-op-inspct,camping,wife
620215,455689,MALE,Masters,adm-clerical,paintball,own-child
618659,450341,FEMALE,Masters,tech-support,exercise,unmarried
649082,431277,FEMALE,High School,machine-op-inspct,skydiving,wife
437573,454656,MALE,PhD,exec-managerial,basketball,unmarried
964657,605169,FEMALE,College,exec-managerial,yachting,other-relative
932502,444822,FEMALE,High School,sales,exercise,other-relative
434507,447442,FEMALE,PhD,tech-support,golf,not-in-family
935277,474360,FEMALE,High School,prof-specialty,basketball,wife
756054,447925,FEMALE,MD,other-service,hiking,not-in-family
682387,451586,MALE,Masters,machine-op-inspct,camping,other-relative
456604,477519,MALE,Masters,transport-moving,video-games,wife
139872,603639,MALE,PhD,machine-op-inspct,video-games,own-child
354105,463993,MALE,MD,exec-managerial,yachting,other-relative
165485,441491,FEMALE,JD,farming-fishing,video-games,wife
515050,469429,FEMALE,Associate,exec-managerial,cross-fit,wife
795686,472214,MALE,Masters,tech-support,polo,not-in-family
395983,614945,FEMALE,MD,other-service,golf,other-relative
119513,476727,MALE,PhD,adm-clerical,reading,not-in-family
217938,438555,FEMALE,JD,craft-repair,skydiving,not-in-family
203914,440961,FEMALE,PhD,farming-fishing,base-jumping,wife
565157,616714,MALE,Masters,priv-house-serv,polo,husband
904191,434247,MALE,High School,exec-managerial,kayaking,own-child
419510,436547,FEMALE,Masters,craft-repair,paintball,own-child
575000,619540,FEMALE,Masters,other-service,reading,own-child
120485,466283,MALE,Associate,sales,bungie-jumping,other-relative
781181,449557,MALE,JD,exec-managerial,exercise,husband
299796,473329,FEMALE,JD,prof-specialty,hiking,other-relative
589749,470117,MALE,Masters,machine-op-inspct,movies,not-in-family
854021,600702,FEMALE,JD,transport-moving,video-games,other-relative
454086,615921,FEMALE,Associate,priv-house-serv,reading,unmarried
139484,475588,FEMALE,MD,farming-fishing,dancing,not-in-family
678849,609409,FEMALE,MD,exec-managerial,polo,unmarried
346940,479852,FEMALE,Masters,prof-specialty,sleeping,not-in-family
985436,452249,FEMALE,Masters,prof-specialty,polo,unmarried
237418,441536,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family
335780,601617,FEMALE,Associate,craft-repair,board-games,unmarried
491392,442598,MALE,High School,farming-fishing,yachting,unmarried
140880,430987,FEMALE,Masters,machine-op-inspct,bungie-jumping,husband
962591,430104,MALE,High School,other-service,movies,not-in-family
922565,612904,MALE,Associate,armed-forces,hiking,not-in-family
288580,430886,MALE,High School,machine-op-inspct,hiking,husband
154280,467947,MALE,College,protective-serv,board-games,wife
425973,604804,FEMALE,MD,transport-moving,kayaking,wife
477177,460308,FEMALE,PhD,farming-fishing,kayaking,unmarried
648509,618862,MALE,MD,tech-support,board-games,wife
914815,462479,MALE,Masters,protective-serv,dancing,other-relative
249048,457555,FEMALE,PhD,prof-specialty,kayaking,other-relative
144323,459984,FEMALE,Masters,armed-forces,skydiving,other-relative
651861,434982,MALE,MD,tech-support,exercise,wife
125324,614233,MALE,Associate,handlers-cleaners,basketball,not-in-family
398102,605258,FEMALE,Masters,adm-clerical,reading,not-in-family
514065,604377,FEMALE,Masters,tech-support,exercise,husband
391652,434923,MALE,JD,tech-support,cross-fit,other-relative
922167,476456,MALE,Masters,craft-repair,sleeping,not-in-family
442795,446788,MALE,JD,tech-support,cross-fit,husband
226330,477382,FEMALE,JD,tech-support,bungie-jumping,unmarried
134430,600275,FEMALE,JD,protective-serv,exercise,other-relative
524230,461958,FEMALE,High School,tech-support,hiking,own-child
438817,472720,FEMALE,High School,adm-clerical,polo,other-relative
293794,442395,MALE,Associate,tech-support,movies,own-child
868283,455340,MALE,JD,farming-fishing,hiking,unmarried
828890,613247,FEMALE,MD,handlers-cleaners,basketball,unmarried
882920,454985,MALE,High School,other-service,hiking,husband
918777,468813,MALE,MD,farming-fishing,basketball,not-in-family
212580,452747,MALE,High School,handlers-cleaners,bungie-jumping,husband
602410,615611,MALE,MD,armed-forces,skydiving,own-child
976971,451400,FEMALE,MD,adm-clerical,camping,not-in-family
630226,464874,MALE,Masters,armed-forces,bungie-jumping,own-child
171254,452496,FEMALE,College,sales,paintball,other-relative
247116,430714,MALE,PhD,craft-repair,golf,not-in-family
505969,472634,MALE,PhD,transport-moving,base-jumping,not-in-family
653864,608371,FEMALE,High School,protective-serv,board-games,unmarried
586367,468168,MALE,PhD,machine-op-inspct,paintball,wife
896890,464107,MALE,JD,sales,kayaking,husband
650026,466959,FEMALE,Masters,tech-support,exercise,not-in-family
547744,443522,FEMALE,College,sales,chess,other-relative
598124,441726,MALE,Masters,handlers-cleaners,golf,husband
436126,473412,MALE,JD,adm-clerical,hiking,husband
739447,466201,MALE,Associate,sales,reading,not-in-family
427484,469621,FEMALE,High School,handlers-cleaners,movies,other-relative
218684,466676,MALE,High School,priv-house-serv,skydiving,not-in-family
565564,615346,MALE,High School,sales,yachting,other-relative
743163,440106,FEMALE,MD,prof-specialty,reading,wife
604614,450332,FEMALE,JD,exec-managerial,cross-fit,wife
509928,615226,MALE,PhD,craft-repair,bungie-jumping,other-relative
593390,437688,FEMALE,High School,machine-op-inspct,base-jumping,unmarried
970607,437387,MALE,Masters,transport-moving,yachting,not-in-family
174701,458139,FEMALE,MD,prof-specialty,exercise,not-in-family
529398,443191,MALE,College,priv-house-serv,camping,other-relative
940942,613647,MALE,College,farming-fishing,base-jumping,other-relative
442677,460820,FEMALE,College,other-service,exercise,own-child
365364,431121,FEMALE,High School,sales,yachting,husband
114839,619735,MALE,Associate,sales,board-games,wife
872734,470485,FEMALE,Associate,tech-support,kayaking,not-in-family
267885,620473,MALE,Masters,exec-managerial,basketball,unmarried
740505,449800,FEMALE,High School,other-service,paintball,own-child
629663,602402,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family
839884,452456,FEMALE,MD,craft-repair,kayaking,unmarried
241562,439269,FEMALE,MD,farming-fishing,dancing,other-relative
405533,617774,FEMALE,High School,machine-op-inspct,base-jumping,wife
667021,477678,MALE,JD,prof-specialty,dancing,own-child
511621,444913,FEMALE,Masters,machine-op-inspct,exercise,husband
476923,456602,MALE,MD,handlers-cleaners,paintball,own-child
735822,451560,MALE,JD,farming-fishing,polo,other-relative
492745,453407,MALE,Masters,transport-moving,kayaking,unmarried
130930,618655,MALE,JD,craft-repair,golf,unmarried
261119,612550,MALE,MD,sales,cross-fit,own-child
280709,466718,FEMALE,Associate,farming-fishing,reading,own-child
898573,617947,FEMALE,Masters,farming-fishing,dancing,own-child
547802,606238,FEMALE,MD,armed-forces,cross-fit,own-child
600845,463842,FEMALE,College,adm-clerical,skydiving,other-relative
390381,610354,FEMALE,JD,exec-managerial,camping,other-relative
629918,461328,FEMALE,College,tech-support,paintball,own-child
208298,458727,MALE,Associate,armed-forces,board-games,other-relative
513099,452587,FEMALE,Associate,tech-support,golf,other-relative
184938,433184,FEMALE,JD,machine-op-inspct,golf,not-in-family
187775,451280,FEMALE,JD,other-service,chess,own-child
326322,603269,MALE,Masters,machine-op-inspct,golf,other-relative
146138,442632,FEMALE,High School,armed-forces,paintball,other-relative
336047,447300,FEMALE,Associate,transport-moving,yachting,unmarried
532330,441783,MALE,MD,sales,yachting,other-relative
118137,468702,FEMALE,High School,transport-moving,bungie-jumping,husband
212674,467942,MALE,PhD,transport-moving,movies,wife
935596,463678,FEMALE,JD,tech-support,base-jumping,wife
737593,615220,FEMALE,High School,farming-fishing,golf,own-child
812025,432711,MALE,Associate,craft-repair,base-jumping,other-relative
168151,463583,MALE,Associate,machine-op-inspct,cross-fit,other-relative
594739,439502,FEMALE,MD,sales,base-jumping,husband
843227,613287,FEMALE,PhD,exec-managerial,dancing,unmarried
283925,620104,FEMALE,Masters,priv-house-serv,skydiving,other-relative
475588,446895,MALE,PhD,other-service,reading,husband
751905,431531,MALE,College,machine-op-inspct,golf,husband
226725,605408,MALE,Masters,armed-forces,base-jumping,other-relative
942504,457551,FEMALE,MD,protective-serv,kayaking,wife
395572,619892,FEMALE,High School,craft-repair,movies,own-child
889883,445853,MALE,JD,machine-op-inspct,hiking,wife
818167,475483,FEMALE,JD,handlers-cleaners,video-games,unmarried
277767,606290,MALE,Associate,protective-serv,reading,other-relative
842618,611852,FEMALE,Associate,machine-op-inspct,camping,wife
577810,444734,MALE,College,handlers-cleaners,camping,husband
873114,433683,FEMALE,Associate,other-service,camping,wife
994538,448882,MALE,MD,craft-repair,paintball,other-relative
727792,466838,FEMALE,JD,armed-forces,skydiving,wife
522506,605490,FEMALE,Masters,other-service,skydiving,other-relative
367595,466137,FEMALE,Associate,machine-op-inspct,board-games,own-child
586104,466970,MALE,Associate,tech-support,paintball,husband
424862,474801,MALE,PhD,prof-specialty,cross-fit,unmarried
512813,450703,FEMALE,JD,armed-forces,exercise,not-in-family
356768,478172,FEMALE,College,other-service,sleeping,own-child
330506,604668,FEMALE,JD,craft-repair,movies,unmarried
779075,469429,FEMALE,Associate,craft-repair,cross-fit,wife
799501,471806,FEMALE,PhD,transport-moving,video-games,not-in-family
987905,475705,MALE,PhD,tech-support,sleeping,other-relative
967756,459122,FEMALE,MD,priv-house-serv,basketball,own-child
830414,476737,FEMALE,High School,adm-clerical,kayaking,not-in-family
127313,460359,MALE,JD,priv-house-serv,hiking,not-in-family
786957,452735,FEMALE,Associate,transport-moving,golf,not-in-family
332892,613583,FEMALE,JD,handlers-cleaners,movies,husband
448642,605692,FEMALE,College,sales,hiking,own-child
526039,438178,MALE,Associate,machine-op-inspct,kayaking,wife
444422,449221,MALE,College,protective-serv,golf,other-relative
689500,459322,FEMALE,High School,handlers-cleaners,polo,husband
806081,472657,MALE,High School,sales,dancing,wife
384618,608331,MALE,High School,exec-managerial,golf,unmarried
756459,438546,FEMALE,Associate,prof-specialty,basketball,wife
655787,441981,MALE,College,protective-serv,reading,wife
419954,602177,FEMALE,College,handlers-cleaners,dancing,wife
275092,441659,FEMALE,MD,adm-clerical,golf,not-in-family
515698,614812,MALE,High School,transport-moving,video-games,other-relative
132871,458470,FEMALE,Masters,farming-fishing,base-jumping,not-in-family
714929,469646,MALE,Associate,handlers-cleaners,yachting,own-child
297816,611118,MALE,College,sales,base-jumping,other-relative
426708,465158,MALE,JD,transport-moving,camping,wife
615047,457130,MALE,High School,priv-house-serv,bungie-jumping,husband
771236,607893,FEMALE,JD,handlers-cleaners,base-jumping,wife
235869,464736,FEMALE,PhD,farming-fishing,kayaking,own-child
931625,476198,FEMALE,Associate,protective-serv,cross-fit,unmarried
371635,444903,MALE,Associate,machine-op-inspct,hiking,unmarried
427199,464336,MALE,Masters,armed-forces,golf,husband
261315,471453,FEMALE,PhD,sales,dancing,other-relative
582973,466191,MALE,MD,sales,base-jumping,not-in-family
278091,440930,FEMALE,Associate,handlers-cleaners,skydiving,other-relative
153154,430380,MALE,PhD,protective-serv,board-games,own-child
515217,613178,FEMALE,Masters,machine-op-inspct,golf,unmarried
860497,460564,FEMALE,MD,transport-moving,bungie-jumping,wife
351741,439929,MALE,High School,exec-managerial,bungie-jumping,not-in-family
403737,605756,FEMALE,Associate,adm-clerical,camping,wife
162004,451184,FEMALE,High School,transport-moving,yachting,not-in-family
740384,459588,MALE,Associate,protective-serv,reading,other-relative
876714,616637,FEMALE,High School,sales,video-games,wife
951543,447979,MALE,JD,adm-clerical,polo,husband
576723,460176,MALE,High School,handlers-cleaners,movies,husband
391003,459429,FEMALE,Masters,priv-house-serv,board-games,other-relative
225865,465456,MALE,College,exec-managerial,sleeping,not-in-family
984948,464665,MALE,JD,tech-support,sleeping,not-in-family
890328,430853,FEMALE,High School,farming-fishing,bungie-jumping,own-child
803294,615712,MALE,PhD,craft-repair,yachting,own-child
414913,608228,MALE,MD,armed-forces,base-jumping,husband
414519,457535,MALE,PhD,protective-serv,board-games,own-child
818413,442540,MALE,Masters,machine-op-inspct,base-jumping,not-in-family
487356,455332,FEMALE,PhD,transport-moving,reading,husband
159768,439534,FEMALE,JD,tech-support,base-jumping,unmarried
865839,462420,FEMALE,MD,prof-specialty,reading,husband
406567,448913,MALE,College,prof-specialty,hiking,wife
623032,440837,FEMALE,JD,armed-forces,camping,unmarried
935442,466634,MALE,College,armed-forces,sleeping,unmarried
106873,446435,MALE,Associate,tech-support,camping,wife
563878,438237,FEMALE,Associate,priv-house-serv,movies,husband
620855,468313,MALE,MD,priv-house-serv,video-games,unmarried
583169,476303,FEMALE,JD,sales,cross-fit,wife
337677,450339,FEMALE,Associate,craft-repair,movies,wife
445973,476502,MALE,College,armed-forces,skydiving,own-child
156694,600561,MALE,Masters,protective-serv,sleeping,other-relative
421940,600754,FEMALE,Associate,tech-support,board-games,unmarried
613226,439304,MALE,PhD,transport-moving,hiking,unmarried
804410,460722,MALE,Associate,machine-op-inspct,skydiving,own-child
553565,618632,FEMALE,PhD,handlers-cleaners,base-jumping,husband
399524,452204,MALE,JD,tech-support,cross-fit,not-in-family
331595,454530,FEMALE,MD,craft-repair,bungie-jumping,unmarried
380067,474848,FEMALE,JD,tech-support,polo,own-child
701521,435985,FEMALE,Associate,machine-op-inspct,paintball,other-relative
360770,457942,FEMALE,High School,craft-repair,camping,unmarried
958785,436522,MALE,Masters,adm-clerical,skydiving,own-child
797934,471704,FEMALE,High School,adm-clerical,base-jumping,own-child
883980,455810,FEMALE,MD,prof-specialty,golf,unmarried
340614,446544,FEMALE,MD,craft-repair,paintball,not-in-family
435784,461919,MALE,College,other-service,movies,other-relative
563837,470128,MALE,College,adm-clerical,yachting,wife
200827,462836,MALE,PhD,priv-house-serv,basketball,unmarried
533941,475407,FEMALE,Associate,transport-moving,polo,unmarried
265026,473611,FEMALE,College,priv-house-serv,paintball,other-relative
354481,608425,MALE,MD,prof-specialty,polo,own-child
566720,476227,FEMALE,Associate,sales,reading,own-child
832746,452701,FEMALE,High School,adm-clerical,polo,own-child
386690,456789,FEMALE,Masters,adm-clerical,chess,wife
979285,600904,FEMALE,Masters,exec-managerial,dancing,own-child
594722,450889,FEMALE,Associate,adm-clerical,hiking,own-child
216738,478837,FEMALE,JD,craft-repair,yachting,wife
369048,611322,MALE,PhD,exec-managerial,hiking,other-relative
514424,438180,MALE,High School,protective-serv,exercise,other-relative
954191,449793,FEMALE,PhD,farming-fishing,dancing,own-child
150181,450730,FEMALE,PhD,sales,video-games,husband
388671,608758,FEMALE,JD,armed-forces,base-jumping,wife
457244,445339,MALE,College,transport-moving,chess,unmarried
206667,438328,FEMALE,Masters,sales,reading,other-relative
745200,479913,FEMALE,Associate,craft-repair,exercise,own-child
412703,460760,MALE,JD,other-service,polo,not-in-family
736771,444797,MALE,JD,transport-moving,sleeping,own-child
347984,436711,MALE,College,other-service,reading,other-relative
626074,432491,FEMALE,Associate,craft-repair,sleeping,own-child
218109,617527,FEMALE,PhD,exec-managerial,base-jumping,other-relative
999435,601213,MALE,PhD,exec-managerial,golf,not-in-family
858060,604138,MALE,JD,armed-forces,chess,unmarried
500384,431361,FEMALE,Masters,protective-serv,board-games,own-child
903785,477695,MALE,High School,prof-specialty,base-jumping,wife
873859,612597,FEMALE,College,other-service,paintball,not-in-family
204294,445638,MALE,Associate,machine-op-inspct,camping,wife
467106,476185,MALE,JD,machine-op-inspct,base-jumping,wife
357713,435995,FEMALE,JD,priv-house-serv,sleeping,own-child
890026,430232,FEMALE,JD,exec-managerial,golf,unmarried
751612,443861,MALE,PhD,exec-managerial,golf,other-relative
876680,460801,FEMALE,High School,prof-specialty,board-games,husband
756981,605121,MALE,MD,exec-managerial,video-games,own-child
121439,458622,MALE,High School,farming-fishing,reading,own-child
411289,478661,FEMALE,PhD,machine-op-inspct,video-games,not-in-family
538466,435299,MALE,High School,protective-serv,exercise,unmarried
932097,601961,MALE,Masters,adm-clerical,dancing,wife
463727,604328,FEMALE,High School,prof-specialty,dancing,unmarried
552618,614385,MALE,MD,armed-forces,exercise,own-child
936638,438584,FEMALE,Masters,priv-house-serv,video-games,not-in-family
348814,478703,MALE,MD,transport-moving,base-jumping,own-child
944102,615683,FEMALE,College,craft-repair,skydiving,husband
689901,455672,MALE,Associate,sales,skydiving,other-relative
901083,602942,FEMALE,College,armed-forces,cross-fit,unmarried
396224,616706,FEMALE,College,transport-moving,skydiving,wife
682178,473243,MALE,MD,adm-clerical,exercise,husband
596298,435552,FEMALE,High School,machine-op-inspct,sleeping,wife
253005,434206,MALE,Masters,exec-managerial,camping,unmarried
985924,469895,FEMALE,College,exec-managerial,cross-fit,unmarried
631565,457722,FEMALE,Associate,adm-clerical,polo,not-in-family
630998,473645,FEMALE,High School,machine-op-inspct,video-games,not-in-family
926665,619108,FEMALE,College,farming-fishing,camping,not-in-family
302669,610479,MALE,Masters,prof-specialty,movies,own-child
620020,474998,MALE,Associate,armed-forces,paintball,unmarried
439828,616341,FEMALE,High School,machine-op-inspct,basketball,unmarried
971295,460535,FEMALE,Masters,transport-moving,bungie-jumping,wife
165565,606487,FEMALE,JD,priv-house-serv,exercise,unmarried
936543,620737,MALE,High School,priv-house-serv,board-games,unmarried
296960,445904,FEMALE,JD,exec-managerial,paintball,own-child
501692,464145,FEMALE,College,tech-support,chess,husband
525224,466818,MALE,MD,prof-specialty,video-games,other-relative
355085,464237,MALE,High School,handlers-cleaners,hiking,husband
830729,618455,FEMALE,MD,other-service,kayaking,wife
651948,456602,MALE,Masters,machine-op-inspct,base-jumping,husband
424358,616126,FEMALE,College,exec-managerial,basketball,other-relative
131478,468508,MALE,Masters,farming-fishing,cross-fit,not-in-family
268833,431937,FEMALE,High School,priv-house-serv,polo,own-child
287489,448603,FEMALE,Masters,exec-managerial,camping,other-relative
808153,444500,MALE,Masters,transport-moving,bungie-jumping,own-child
687639,601117,FEMALE,JD,transport-moving,sleeping,other-relative
497347,615383,FEMALE,PhD,priv-house-serv,yachting,not-in-family
439660,434342,FEMALE,Masters,priv-house-serv,base-jumping,other-relative
847123,435100,MALE,College,priv-house-serv,exercise,wife
172307,431278,MALE,Associate,priv-house-serv,skydiving,own-child
810189,445648,MALE,MD,machine-op-inspct,reading,wife
432068,448857,MALE,JD,exec-managerial,bungie-jumping,other-relative
903203,435267,FEMALE,PhD,priv-house-serv,chess,not-in-family
253085,461275,FEMALE,PhD,other-service,sleeping,own-child
180720,613816,MALE,JD,handlers-cleaners,polo,unmarried
492224,608767,MALE,Masters,protective-serv,yachting,not-in-family
411477,620869,MALE,MD,tech-support,board-games,own-child
107181,478981,FEMALE,PhD,transport-moving,exercise,wife
312940,464630,FEMALE,JD,protective-serv,paintball,not-in-family
855186,466303,FEMALE,Associate,sales,reading,other-relative
373935,452647,FEMALE,High School,farming-fishing,chess,unmarried
812989,441370,FEMALE,JD,priv-house-serv,dancing,own-child
993840,619166,MALE,Associate,tech-support,exercise,wife
327856,472803,FEMALE,PhD,adm-clerical,yachting,other-relative
506333,442308,FEMALE,Masters,other-service,reading,husband
263159,469383,FEMALE,PhD,other-service,base-jumping,husband
372912,614383,FEMALE,College,transport-moving,reading,husband
552788,438617,FEMALE,College,priv-house-serv,board-games,unmarried
722747,613936,FEMALE,Associate,transport-moving,reading,husband
248467,472163,FEMALE,Associate,machine-op-inspct,board-games,not-in-family
955953,447458,MALE,Associate,adm-clerical,video-games,not-in-family
910622,474792,MALE,Masters,craft-repair,yachting,husband
137675,470559,MALE,Masters,transport-moving,movies,own-child
343421,432399,FEMALE,MD,priv-house-serv,board-games,unmarried
413192,607605,FEMALE,PhD,other-service,yachting,other-relative
247801,600153,FEMALE,High School,tech-support,base-jumping,other-relative
171147,465979,MALE,MD,protective-serv,board-games,own-child
431283,466555,FEMALE,PhD,tech-support,hiking,own-child
461962,444155,MALE,JD,prof-specialty,golf,wife
149467,465764,MALE,PhD,handlers-cleaners,skydiving,other-relative
758740,446898,FEMALE,Associate,handlers-cleaners,dancing,unmarried
628337,453274,FEMALE,Masters,transport-moving,camping,wife
574637,479320,FEMALE,College,protective-serv,exercise,other-relative
373600,443462,FEMALE,High School,farming-fishing,yachting,not-in-family
930032,446158,FEMALE,PhD,protective-serv,kayaking,not-in-family
396590,602514,FEMALE,JD,craft-repair,skydiving,husband
